username,nickname,signature,followers,following,likes,videos_count,is_verified,privateAccount
hutechuniversity,Đại học HUTECH,"HUTECH: Đại học chuẩn quốc tế, năng động, đa trải nghiệm!",328800,0,3900000,1751,True,False
university4society,University4Society,"University4Society, girişimcilik ekosistemi 🚀
https://u4s.at/",10,10,22,10,False,False
techtituteus,TECH Global University,TECH is the world's largest #OnlineUniversity.,1000000,1,24600,14,False,False
uniofsociety,Universityofsociety,For the people who believes in growth and constant personal development,3,1,10,3,False,False
tech_society,Tech Society,Exploring the digital frontier 🌐 | Tech enthusiast | Learning & growing 💻,55,153,249,28,False,False
pekinguniversity1898,Peking University,"Official account of Peking University
#StudyAtPKU please visit: isd.pku.edu.cn",139500,8,502800,231,False,False
univers_society,UNIVERS SOCIETY🪐,UNIVERS SOCIETY🪐,9,10,5,1,False,False
universitytech,Uni tech,"Any genre
I use Funimate and CapCut",14,73,1385,10,False,False
universitydancesociety,University Dance Society,Embracing Expression through Dance💃🏾,990,16,19500,37,False,False
mpl.id.official,MPL Indonesia,Akun official Mobile Legends: Bang Bang Professional League Indonesia 🇮🇩,9800000,256,426300000,1010,True,False
hutechuniversity,Đại học HUTECH,"HUTECH: Đại học chuẩn quốc tế, năng động, đa trải nghiệm!",328800,0,3900000,1751,True,False
riztechuniversity,Rizal Technological University,,608,0,54,10,False,False
universitytech,Uni tech,"Any genre
I use Funimate and CapCut",14,73,1385,10,False,False
techtituteus,TECH Global University,TECH is the world's largest #OnlineUniversity.,1000000,1,24600,14,False,False
university4142,University,"Games 
Follow me and I'll follow back＼(^_^)／
ゲームなど 
フォロー返します！#フォロバ",3533,4938,2210,55,False,False
taltechuniversity,TalTech University,Welcome to the most innovative university in Estonia ⚡️TalTech⚡️,1829,63,27100,197,False,False
organizationtech.170,Human Organization Technology,,18,51,26,3,False,False
techtomer.univers,Techtomer University,bawal ang iyakin dito !!!,100000,21,613100,227,False,False
theorganizationtech,theorganizationtech,,0,0,0,0,False,False
pekinguniversity1898,Peking University,"Official account of Peking University
#StudyAtPKU please visit: isd.pku.edu.cn",139500,8,502800,231,False,False
hutechuniversity,Đại học HUTECH,"HUTECH: Đại học chuẩn quốc tế, năng động, đa trải nghiệm!",328800,0,3900000,1751,True,False
techtituteus,TECH Global University,TECH is the world's largest #OnlineUniversity.,1000000,1,24600,14,False,False
universitytech,Uni tech,"Any genre
I use Funimate and CapCut",14,73,1385,10,False,False
taltechuniversity,TalTech University,Welcome to the most innovative university in Estonia ⚡️TalTech⚡️,1829,63,27100,197,False,False
techtomer.univers,Techtomer University,bawal ang iyakin dito !!!,100000,21,613100,227,False,False
university4142,University,"Games 
Follow me and I'll follow back＼(^_^)／
ゲームなど 
フォロー返します！#フォロバ",3533,4938,2210,55,False,False
techuniversity7,Tech University,faites moi 10k d'abonnés svp à University tech 📱📲💻✅️✅️🎬❌️,184,151,46,2,False,False
associationunivers,associationunivers,Mail à contacter associationunivers09@gmail.com,113,0,89,3,False,False
ansactechnology,Ansac Technology Singapore,"One-stop solution for Safety, Analysis & Measurement!
zaap.bio/ansactechnology",644,2564,2200,45,False,False
unitechgroup_,Unitech Group,"Sell & Supply Gadget

Anas - 018-366-9207",3547,5,2851,118,False,False
techtituteus,TECH Global University,TECH is the world's largest #OnlineUniversity.,1000000,1,24600,14,False,False
hutechuniversity,Đại học HUTECH,"HUTECH: Đại học chuẩn quốc tế, năng động, đa trải nghiệm!",328800,0,3900000,1751,True,False
unitechgroup,Unitechgroup,"Used / secondhand iPhone supplier
Ship from Malaysia
+6 017 68 66 068",977,38,1288,16,False,False
universal.tech.gr,universal tech group,réseau informatique vente et réparation des ordinateurs  et caméra,686,4507,99,1,False,False
riztechuniversity,Rizal Technological University,,608,0,54,10,False,False
theuniversitygroup,Theuniversitygroup,Accreditors Formed by the Community for the community. We all deserve to shine !,1,1,69,11,False,False
techtomer.univers,Techtomer University,bawal ang iyakin dito !!!,100000,21,613100,227,False,False
universitytech,Uni tech,"Any genre
I use Funimate and CapCut",14,73,1385,10,False,False
zetechuniversity,Zetech University,Zetech University is a leading private university in Kenya. #KaribuZetech,9259,46,90400,172,False,False
techenthusiastday_ugm,Tech Enthusiast Day 2024,"Official Acc Tech Enthusiast Day UGM 
https://linktr.ee/techenthusiastday_ugm",236,0,419,23,False,False
tech_enthusiast1,Tech Enthusiast,No bio yet,8984,1310,181900,14,False,False
hutechuniversity,Đại học HUTECH,"HUTECH: Đại học chuẩn quốc tế, năng động, đa trải nghiệm!",328800,0,3900000,1751,True,False
tech_enthusiast2,tech_enthusiast,"Tech enthusiast, gadget lover, sharing the latest tech trends and reviews5.",168,17,58,6,False,False
tech.enthusiasts,VsTech,TechEnthusiasts | Coding | 🚀,520,16,960,13,False,False
techtitute,TECH Universidad,TECH es la mayor universidad digital del mundo.,1000000,51,506700,204,False,False
mrwhosetheboss,Arun Maini,Let's build the greatest Tech community on the planet 🌎,2400000,1,44200000,230,True,False
techz_enthusiast,Tech_enthusiast,"^_^Old account banned😔 
comment karo reply
milay ga🥀 show some 
love 💕",280,13,12700,32,False,False
uni.tech.yami,UNI TECH PH,Factory Supply More Orders Contact Customer Service❤️❤️❤️,40300,688,358300,715,False,False
tech.enthusiast87,Tech enthusiast,,818,783,50,3,False,False
